880,34 881,121 0
880,34 881,120 0
725,93 726,16 0
725,92 726,15 0
725,95 726,20 0
725,94 726,17 0
725,94 726,18 0
725,94 726,19 0
725,97 726,23 0
725,97 726,22 0
725,97 726,25 0
725,97 726,24 0
725,97 726,26 0
725,96 726,21 0
725,99 726,29 0
725,99 726,30 0
725,98 726,28 1
725,98 726,27 0
828,151 829,51 0
828,151 829,52 0
828,151 829,53 0
828,157 829,63 0
828,157 829,62 0
828,156 829,61 0
828,156 829,60 0
828,156 829,59 0
828,155 829,58 0
471,33 472,83 0
471,33 472,84 0
471,36 472,87 0
471,36 472,86 1
471,34 472,85 0
471,38 472,88 0
613,39 614,110 1
613,39 614,109 0
613,38 614,108 0
613,31 614,100 0
613,31 614,99 0
613,33 614,104 0
613,32 614,103 0
613,32 614,102 0
613,32 614,101 0
613,34 614,105 0
613,36 614,107 0
613,36 614,106 0
751,125 752,43 1
751,124 752,42 0
751,127 752,45 0
751,127 752,46 0
751,126 752,44 0
751,120 752,38 0
751,120 752,37 0
751,123 752,39 0
751,123 752,40 0
751,123 752,41 0
751,129 752,49 0
751,129 752,50 0
751,128 752,48 0
751,128 752,47 0
882,64 883,153 0
882,64 883,154 0
882,65 883,155 0
894,22 895,117 0
894,22 895,116 0
882,62 883,151 0
882,63 883,152 0
828,153 829,55 0
828,153 829,56 0
828,153 829,57 0
828,152 829,54 0
532,63 533,12 0
532,63 533,13 0
532,60 533,11 0
532,66 533,18 0
532,66 533,19 0
532,66 533,21 0
532,66 533,20 0
532,66 533,22 0
532,67 533,25 0
532,67 533,24 0
532,67 533,23 0
532,64 533,14 0
532,64 533,15 0
532,64 533,16 0
532,64 533,17 0
170,29 171,8 0
170,20 171,41 0
170,20 171,40 0
170,20 171,43 0
170,20 171,42 0
170,21 171,0 0
170,21 171,1 0
170,21 171,2 0
170,21 171,3 0
170,22 171,4 0
170,23 171,5 0
170,24 171,6 0
170,26 171,7 0
651,5 652,85 0
651,5 652,84 0
651,5 652,83 0
651,5 652,82 1
651,4 652,81 0
651,4 652,80 0
776,60 777,137 0
776,62 777,138 0
776,65 777,139 0
776,66 777,140 0
776,69 777,142 0
776,69 777,141 0
993,70 994,176 1
993,73 994,179 1
993,73 994,178 0
993,73 994,177 0
923,90 924,192 0
923,90 924,191 0
923,93 924,193 1
762,52 763,135 0
762,53 763,137 0
762,53 763,136 0
722,38 723,102 0
722,39 723,104 0
722,39 723,103 0
722,36 723,101 0
722,34 723,99 0
722,35 723,100 0
722,32 723,98 1
923,97 924,194 0
923,97 924,195 0
838,96 839,184 0
838,97 839,185 0
657,18 658,96 0
657,18 658,97 0
657,18 658,98 0
657,18 658,99 0
838,94 839,182 0
838,94 839,183 0
838,94 839,181 0
818,33 819,122 0
657,13 658,89 0
657,13 658,90 0
657,12 658,88 0
657,11 658,87 0
657,10 658,86 0
657,16 658,95 0
657,15 658,94 0
657,14 658,92 0
657,14 658,93 0
657,14 658,91 1
818,31 819,121 0
559,25 560,86 0
559,25 560,85 0
559,26 560,87 1
323,70 324,29 0
559,23 560,84 0
559,22 560,83 0
243,8 244,33 0
243,8 244,32 0
243,8 244,34 0
243,4 244,31 0
243,4 244,30 1
243,4 244,29 0
243,0 244,27 0
243,2 244,28 0
999,176 1000,76 1
999,176 1000,75 1
999,177 1000,77 1
999,177 1000,79 1
999,177 1000,78 1
999,171 1000,72 1
999,171 1000,71 1
918,209 919,100 0
918,208 919,99 0
918,204 919,98 0
918,204 919,96 0
918,204 919,97 0
918,203 919,93 0
918,203 919,94 0
918,203 919,95 0
918,202 919,92 0
918,201 919,91 1
918,200 919,90 0
