880,34 881,121
725,92 726,15
725,94 726,18
725,97 726,22
725,96 726,21
725,98 726,28
828,151 829,51
828,157 829,63
828,155 829,58
471,33 472,84
471,36 472,86
471,34 472,85
471,38 472,88
613,39 614,110
613,31 614,100
613,33 614,104
613,32 614,101
613,36 614,106
751,125 752,43
751,127 752,46
751,120 752,37
751,129 752,49
882,64 883,154
882,65 883,155
828,153 829,55
532,60 533,11
532,66 533,19
532,67 533,23
532,64 533,16
170,20 171,43
170,21 171,0
170,24 171,6
651,5 652,82
776,60 777,137
776,62 777,138
776,66 777,140
993,70 994,176
993,73 994,179
923,90 924,191
923,93 924,193
762,52 763,135
762,53 763,137
722,39 723,104
722,36 723,101
722,35 723,100
722,32 723,98
923,97 924,194
838,97 839,185
657,18 658,99
838,94 839,181
818,33 819,122
657,13 658,89
657,11 658,87
657,10 658,86
657,14 658,91
559,25 560,86
559,26 560,87
323,70 324,29
559,23 560,84
243,8 244,34
243,4 244,30
243,2 244,28
918,208 919,99
918,204 919,96
918,201 919,91
836,120 837,22
836,127 837,31
331,61 332,18
331,60 332,17
331,62 332,20
331,64 332,21
707,99 708,21
707,91 708,13
707,92 708,14
707,97 708,20
707,96 708,18
309,49 310,11
865,100 866,1
309,41 310,0
309,44 310,4
309,46 310,8
309,47 310,10
515,6 516,62
515,4 516,60
515,5 516,61
515,2 516,57
515,2 516,56
515,1 516,55
515,8 516,66
515,9 516,67
852,39 853,146
745,119 746,28
852,31 853,136
852,34 853,138
852,37 853,142
844,60 845,161
844,62 845,162
844,67 845,163
844,69 845,165
946,81 947,11
946,80 947,10
893,30 894,137
893,35 894,140
829,140 830,48
829,142 830,51
829,147 830,55
187,39 188,13
187,38 188,11
187,34 188,9
187,30 188,4
599,64 600,129
599,60 600,121
599,63 600,126
599,62 600,125
599,68 600,133
770,44 771,139
770,47 771,140
978,76 979,188
975,179 976,75
454,99 455,35
823,29 824,131
823,28 824,130
454,93 455,30
454,94 455,33
856,38 857,142
856,35 857,139
856,30 857,134
856,31 857,135
856,33 857,138
491,68 492,3
491,63 492,118
491,65 492,120
570,82 571,25
570,80 571,24
570,86 571,28
570,85 571,26
905,37 906,149
