600,6 601,72 0
600,5 601,71 0
600,1 601,67 0
725,92 726,15 0
725,94 726,18 0
725,97 726,22 0
725,96 726,21 0
828,153 829,55 0
725,98 726,28 1
828,151 829,51 0
828,157 829,63 0
828,155 829,58 0
471,33 472,84 0
471,36 472,86 1
651,3 652,78 0
471,34 472,85 0
923,90 924,191 0
923,93 924,193 1
471,38 472,88 0
651,9 652,88 0
923,97 924,194 0
818,33 819,122 0
640,87 641,12 0
640,82 641,8 0
818,39 819,130 0
640,88 641,13 0
745,117 746,26 0
40,8 41,3 1
745,111 746,25 0
745,110 746,24 0
40,4 41,9 1
40,5 41,0 1
745,119 746,28 0
613,39 614,110 1
613,31 614,100 0
613,33 614,104 0
613,32 614,101 0
613,36 614,106 0
751,125 752,43 1
572,39 573,106 0
751,127 752,46 0
670,13 671,94 0
670,14 671,95 0
751,120 752,37 0
572,38 573,104 0
670,18 671,99 0
751,129 752,49 0
882,64 883,154 0
373,23 374,60 0
882,65 883,155 0
471,0 472,51 1
723,131 724,55 0
749,76 750,152 0
723,137 724,64 0
723,136 724,62 1
749,78 750,154 0
471,4 472,55 0
318,47 319,21 0
532,60 533,11 0
318,45 319,16 0
532,66 533,19 0
532,67 533,23 0
532,64 533,16 0
784,26 785,109 0
340,49 341,17 0
471,9 472,59 0
784,28 785,116 0
170,20 171,43 0
170,21 171,0 0
170,24 171,6 0
651,5 652,82 1
691,122 692,48 0
691,123 692,49 0
691,124 692,53 0
691,128 692,55 0
691,129 692,56 1
651,0 652,76 0
776,60 777,137 0
776,62 777,138 0
841,80 842,183 0
776,66 777,140 0
993,74 994,180 1
993,70 994,176 1
841,88 842,192 0
993,73 994,179 1
777,80 778,168 0
777,83 778,172 0
762,52 763,135 0
762,53 763,137 0
768,38 769,128 0
762,55 763,138 0
722,39 723,104 0
722,36 723,101 0
762,59 763,142 0
916,26 917,137 1
722,35 723,100 0
722,32 723,98 1
768,31 769,118 0
768,33 769,119 0
951,17 952,99 0
951,10 952,93 0
951,11 952,94 0
951,19 952,102 1
495,45 496,100 0
592,1 593,72 0
657,18 658,99 0
657,13 658,89 0
657,11 658,87 0
657,10 658,86 0
657,14 658,91 1
674,15 675,106 0
565,95 566,21 1
674,17 675,107 0
565,92 566,20 0
674,12 675,100 0
674,13 675,103 1
559,25 560,86 0
559,26 560,87 1
559,21 560,82 0
323,70 324,29 0
559,23 560,84 0
845,89 846,189 0
243,8 244,34 0
501,69 502,5 0
501,69 502,2 1
243,4 244,30 1
501,66 502,0 0
845,85 846,183 0
243,2 244,28 0
501,63 502,114 0
918,208 919,99 0
918,204 919,96 0
918,201 919,91 1
836,123 837,26 0
224,10 225,38 0
836,120 837,22 1
836,127 837,31 0
224,14 225,43 0
838,69 839,152 0
224,16 225,48 1
331,61 332,18 0
331,60 332,17 0
838,65 839,149 0
331,62 332,20 0
331,64 332,21 0
838,61 839,148 0
838,60 839,147 0
