251,88 252,35
251,89 252,36
251,83 252,31
251,80 252,29
251,85 252,33
725,92 726,26
725,97 726,30
725,99 726,31
78,77 79,19
78,74 79,14
471,38 472,86
743,108 744,52
227,59 228,2
613,35 614,95
613,34 614,94
613,36 614,97
884,12 885,60
882,67 883,23
882,64 883,17
532,62 533,0
532,63 533,1
532,60 533,111
277,86 278,36
277,85 278,35
277,82 278,28
170,29 171,83
170,23 171,81
170,23 171,78
157,97 158,39
157,91 158,30
471,31 472,79
776,60 777,108
776,62 777,109
776,63 777,0
471,35 472,84
776,69 777,4
993,70 994,37
191,79 192,15
762,52 763,102
722,35 723,76
722,32 723,73
722,31 723,71
476,91 477,28
476,92 477,29
476,93 477,30
476,97 477,34
476,99 477,37
783,89 784,25
838,94 839,29
657,13 658,70
657,17 658,76
70,85 71,35
70,82 71,33
323,70 324,16
243,8 244,59
243,4 244,55
243,7 244,57
331,69 332,7
331,68 332,6
818,39 819,97
838,69 839,1
331,65 332,3
331,66 332,4
707,99 708,32
707,91 708,27
707,92 708,28
309,49 310,108
865,106 866,44
865,102 866,39
309,47 310,107
136,49 137,2
515,1 516,59
136,44 137,110
136,47 137,0
136,40 137,104
852,30 853,73
745,118 746,53
852,34 853,79
852,36 853,80
255,79 256,19
255,73 256,13
255,71 256,12
255,75 256,17
844,64 845,6
844,65 845,8
893,33 894,83
893,33 894,82
893,33 894,81
893,32 894,78
893,32 894,80
893,37 894,86
191,77 192,12
175,56 176,110
891,68 892,30
891,64 892,24
891,65 892,25
891,62 892,21
187,35 188,104
187,34 188,103
187,30 188,98
187,30 188,97
187,33 188,99
599,65 600,21
599,61 600,15
599,62 600,16
599,68 600,23
33,103 34,56
770,42 771,117
166,55 167,105
123,95 124,45
123,96 124,46
166,59 167,1
978,76 979,36
823,28 824,69
454,90 455,21
454,94 455,26
454,97 455,28
856,36 857,84
453,49 454,121
551,82 552,22
491,68 492,8
491,61 492,5
570,88 571,40
570,82 571,36
570,83 571,37
905,37 906,2
905,31 906,68
905,30 906,67
141,65 142,11
141,66 142,12
141,62 142,8
141,69 142,15
783,108 784,39
971,63 972,40
971,62 972,39
971,62 972,38
816,26 817,86
46,74 47,19
46,75 47,20
46,71 47,16
816,20 817,82
605,0 606,58
605,6 606,68
605,4 606,64
450,95 451,34
450,97 451,38
450,90 451,29
450,93 451,33
845,36 846,89
368,87 369,43
368,86 369,42
368,83 369,36
368,82 369,34
368,88 369,46
901,33 902,5
901,34 902,6
660,28 661,82
660,23 661,75
660,24 661,76
209,111 210,58
532,68 533,7
18,23 19,85
482,62 483,17
482,63 483,19
459,100 460,33
482,61 483,15
833,77 834,30
833,73 834,25
952,62 953,27
53,19 54,69
952,64 953,30
952,65 953,31
757,28 758,96
757,25 758,93
757,26 758,95
757,20 758,88
53,11 54,63
917,0 918,42
917,1 918,43
917,6 918,47
917,8 918,51
917,8 918,50
467,56 468,104
467,50 468,102
792,59 793,15
792,52 793,4
792,55 793,12
792,54 793,11
479,39 480,95
479,38 480,94
479,33 480,86
479,31 480,84
479,36 480,90
479,35 480,87
555,2 556,55
555,0 556,53
410,109 411,51
327,8 328,68
327,7 328,67
327,0 328,59
824,31 825,89
824,31 825,90
824,30 825,88
824,35 825,91
104,34 105,99
955,57 956,25
104,39 105,103
433,78 434,23
433,70 434,14
433,73 434,17
433,74 434,18
765,71 766,13
765,70 766,7
765,77 766,18
765,76 766,17
127,54 128,105
957,61 958,32
955,52 956,18
957,60 958,31
662,108 663,43
662,105 663,39
662,107 663,42
662,100 663,38
283,37 284,95
283,33 284,92
107,47 108,0
107,42 108,114
828,36 829,89
229,27 230,76
229,25 230,72
768,38 769,96
845,3 846,60
498,19 499,72
498,10 499,63
498,14 499,66
498,15 499,67
768,31 769,89
986,42 987,9
955,59 956,27
522,23 523,84
522,22 523,83
814,60 815,1
522,29 523,92
389,39 390,96
389,38 390,95
389,30 390,84
389,35 390,89
389,36 390,90
685,28 686,80
825,7 826,70
514,82 515,25
514,85 515,30
514,86 515,31
24,18 25,72
907,6 908,52
24,13 25,65
716,75 717,13
716,73 717,11
526,21 527,86
526,20 527,85
526,27 527,91
25,102 26,55
25,104 26,60
306,49 307,98
306,40 307,90
306,44 307,93
306,47 307,95
922,37 923,84
45,94 46,39
248,96 249,50
248,93 249,49
248,99 249,56
323,78 324,30
323,78 324,29
674,12 675,73
559,25 560,83
286,80 287,37
323,72 324,20
579,99 580,48
579,97 580,47
579,94 580,43
501,64 502,7
780,60 781,96
501,61 502,0
501,63 502,5
629,57 630,1
629,54 630,119
391,59 392,12
391,56 392,5
391,57 392,10
391,54 392,2
391,51 392,116
734,100 735,53
734,101 735,55
170,92 171,33
181,45 182,96
181,45 182,98
181,41 182,94
100,0 101,57
100,3 101,60
100,7 101,66
128,28 129,85
860,76 861,35
860,73 861,28
128,24 129,83
838,64 839,118
254,0 255,57
